序号,日期,期权代码,交易代码,行权价,期权简称,涨跌幅(%),成交额,前结算价,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量,涨停价,跌停价,Delta,Gamma,Vega,Theta,Rho
1,2022-09-30,10004237,510050C2212M02500,2.5000,50ETF购12月2500,-0.85,"314,767.00",0.2110,0.2149,0.2290,0.2083,0.2092,0.2092,144,"5,814",0.4761,0.0001,0.7570,1.1660,0.4100,-0.2250,0.4380
2,2022-09-30,10004238,510050C2212M02550,2.5500,50ETF购12月2550,-2.09,"238,507.00",0.1771,0.1850,0.1918,0.1734,0.1734,0.1734,131,"2,307",0.4422,0.0001,0.6940,1.3280,0.4590,-0.2390,0.4060
3,2022-09-30,10004239,510050C2212M02600,2.6000,50ETF购12月2600,-2.10,"1,250,144.00",0.1431,0.1500,0.1585,0.1401,0.1401,0.1400,838,"2,183",0.4082,0.0001,0.6250,1.4740,0.4960,-0.2440,0.3700
4,2022-09-30,10004240,510050C2212M02650,2.6500,50ETF购12月2650,-2.20,"9,059,841.00",0.1136,0.1116,0.1274,0.1111,0.1111,0.1111,"7,593","7,778",0.3787,0.0001,0.5490,1.5640,0.5180,-0.2450,0.3280
5,2022-09-30,10004241,510050C2212M02700,2.7000,50ETF购12月2700,-2.65,"6,906,144.00",0.0906,0.0960,0.1010,0.0869,0.0882,0.0882,"7,329","8,526",0.3508,0.0001,0.4710,1.5640,0.5210,-0.2420,0.2830
6,2022-09-30,10004242,510050C2212M02750,2.7500,50ETF购12月2750,-3.72,"7,462,425.00",0.0698,0.0739,0.0785,0.0669,0.0672,0.0672,"10,219","12,275",0.3250,0.0001,0.3940,1.5340,0.5040,-0.2270,0.2380
7,2022-09-30,10004243,510050C2212M02800,2.8000,50ETF购12月2800,-5.20,"3,758,873.00",0.0538,0.0564,0.0600,0.0505,0.0510,0.0510,"6,781","25,142",0.3040,0.0001,0.3230,1.4310,0.4700,-0.2080,0.1970
8,2022-09-30,10004244,510050C2212M02850,2.8500,50ETF购12月2850,-6.30,"2,933,164.00",0.0413,0.0415,0.0460,0.0380,0.0387,0.0387,"6,929","18,046",0.2865,0.0001,0.2610,1.2860,0.4250,-0.1880,0.1590
9,2022-09-30,10004245,510050C2212M02900,2.9000,50ETF购12月2900,-6.84,"2,274,530.00",0.0307,0.0323,0.0345,0.0286,0.0286,0.0287,"7,128","18,144",0.2709,0.0001,0.2060,1.1240,0.3730,-0.1630,0.1260
10,2022-09-30,10004246,510050P2212M02500,2.5000,50ETF沽12月2500,-6.24,"10,292,998.00",0.0417,0.0390,0.0432,0.0349,0.0391,0.0391,"26,013","35,207",0.2766,0.0001,-0.2380,1.1830,0.4050,-0.1470,-0.1630
11,2022-09-30,10004247,510050P2212M02550,2.5500,50ETF沽12月2550,-4.00,"15,117,475.00",0.0550,0.0520,0.0569,0.0466,0.0528,0.0528,"28,612","41,710",0.2999,0.0001,-0.3020,1.3530,0.4570,-0.1600,-0.2080
12,2022-09-30,10004248,510050P2212M02600,2.6000,50ETF沽12月2600,-3.99,"6,822,047.00",0.0726,0.0677,0.0741,0.0624,0.0697,0.0697,"9,792","29,214",0.3275,0.0001,-0.3740,1.4960,0.4960,-0.1660,-0.2580
13,2022-09-30,10004249,510050P2212M02650,2.6500,50ETF沽12月2650,-1.92,"7,536,575.00",0.0937,0.0891,0.0953,0.0810,0.0919,0.0919,"8,414","10,924",0.3586,0.0001,-0.4510,1.5660,0.5180,-0.1680,-0.3140
14,2022-09-30,10004250,510050P2212M02700,2.7000,50ETF沽12月2700,-1.69,"8,368,472.00",0.1182,0.1136,0.1203,0.1041,0.1162,0.1162,"7,379","13,879",0.3833,0.0001,-0.5310,1.6030,0.5210,-0.1580,-0.3710
15,2022-09-30,10004251,510050P2212M02750,2.7500,50ETF沽12月2750,-1.55,"9,517,536.00",0.1484,0.1484,0.1497,0.1315,0.1461,0.1462,"6,699","14,498",0.4135,0.0001,-0.6080,1.5510,0.5030,-0.1440,-0.4280
